vocal_nonvocal - NLP (1)
Wait for It,Wait for it wait for it wait for it I'm not falling behind or running late Wait for it wait for it wait for it wait for it I'm not standing still I am lying in wait Wait wait wait Hamilton faces an endless uphill climb Climb climb climb He has something to prove,,,,,,,,,
Afterlife,to the dead light Of the afterglow I've gotta know Can we work it out We scream and shout ‘til we work it out Can we just work it out Scream and shout,,,,,,,,,
This Tornado Loves You,65 miles wide Still you are nowhere Still you are nowhere Nowhere in sight Come out to meet me Run out to meet me Come in to the light,,,,,,,,,
I Will Wait,Cause I will wait I will wait for you And I will wait I will wait for you And I will wait,,,,,,,,,
Eet,Whether or not to steal He opens a window Just to feel the chill He hears that outside A small boy just started to cry 'Cause it's his turn But his brother ,,,,,,,,,
I'll Work for Your Love,Pour me a drink Theresa in one of those glasses you dust off And I'll watch the bones in your back like the Stations of the Cross,,,,,,,,,
As Time Goes By,You must remember this A kiss is just a kiss A sigh is just a sigh,,,,,,,,,
Evergreen,Love soft as an easy chair Love fresh as the morning air One,,,,,,,,,
In the Ghetto,And his mama cries 'Cause if there's one thing that she don't need It is another hungry mouth to feed In the ghetto In the ghetto People don't you understand,,,,,,,,,
Lonesome Tonight,Are you lonesome tonight Do you miss me tonight Are you sorry we drifted apart Does your ,,,,,,,,,
Loving You,always true true to you There is only one for me and you know,,,,,,,,,
Tomorrow,good But tonight I'm gonna give in one last time Rock you strong in these arms of mine Forget all the regrets that are bound to follow We're like fire and gasoline I'm no good for you,,,,,,,,,
Enormous Tots,Eyes get beaked And small furry animals Go round Spider wire bites,,,,,,,,,
Small Circle of Friends,Riding down the highway yes my back is getting stiff Thirteen cars are piled up they're hanging on a cliff Maybe we should pull them back with our towing chain But we gotta move and we might get sued and it looks like it's gonna rain,,,,,,,,,
The Crucifixion,The Spanish bulls are beaten the crowd is soon beguiled The matador is beautiful a symphony of style The excitement is estatic passion places bets Gracefully he bows,,,,,,,,,
Tomorrow Never Knows,That love is all That love is everyone It is knowing It is knowing That ignorance and hate May mourn ,,,,,,,,,
I Can't Get No Satisfaction,no oh no no no hey hey hey That's what I say I can't get no satisfaction,,,,,,,,,
Smells Like Teen Spirit,Hello hello hello With the lights out it's less dangerous Here we are now entertain us I feel stupid and contagious Here we are now entertain us,,,,,,,,,
Once in a Lifetime,Letting the days go by let the water hold me down Letting the days go by water flowing underground Into the blue again into the silent water Under the rocks and stones there is water underground Letting the days go by,,,,,,,,,
Stairway to Heaven,And as we wind on down the road Our shadows taller than our soul There walks a lady we all know Who shines,,,,,,,,,
Should I Stay or Should I Go,"This indecision's bugging me Esta indecisión me molesta If you don't want me, set me free Si no me quieres librarme Exactly whom I'm supposed to be Dígame que tengo ser Don't you know which clothes even fit me Sabes que ropa me quedrá Come on and let me ",< not all in english,,,,,,,,
White Rabbit,When the men on the chessboard Get up and tell you where to go And you've just had some kind of mushroom And your mind is moving low Go ask Alice,,,,,,,,,
I Will,Love you forever and forever Love you with all my heart Love you whenever we're together Love you when we're apart And when at last,,,,,,,,,
Beauty & the Beatitudes,If we remember others know how we turn left how we turn 'round And if we're damned forever to look at things the way they are We're sure they never remember as futures rise whose future falls,fMRI_Battery/mus-bid/200116TCIE1/stimuli/stim02.wav,,,,,,,,
The Saturday Boy,I'll never forget the first day I met her That September morning was clear and fresh The way she spoke and laughed at my jokes and the way she rubbed herself against the edge of my desk She,,,,,,,,,
Grindstone,No thanks to the treadmill No thanks to the grindstone There's plenty of dissent from These rungs below The clockwork of destruction Hanging low,,,,,,,,,
Vicious,Vicious You hit me with a flower You do it every hour Oh baby you're so vicious Vicious,,,,,,,,,
Alabaster Box,don't be angry if I wash His feet with my tears And I dry them with my hair My hair You weren't there ,,,,,,,,,
Amazing Grace,been there ten thousand years Bright shining as the sun,,,,,,,,,
Ordinary Just Won't Do,Lord I need a love that's pure and true Ordinary just won't do Ordinary just won't do I need a love that's pure and true I Can always find it in you Jesus Ordinary just won't do I need a love that's pure and true,,,,,,,,,
No Weapon,No weapon formed against me shall prosper It won't work It won't work No weapon,,,,,,,,,
Stomp,"I'm gonna tell you what I'm gonna do It makes me want to
Stomp Makes me clap my hands makes me want to dance and
Stomp My brother can't you see I got the victory",,,,,,,,,
"Satan, We're Gonna Tear Your Kingdom Down",Good God Almighty The Mothers are gonna pray Your kingdom down You know what You know what You've been building your kingdom,,,,,,,,,
Nevermind,What if I left and it made no sense And you tell your friends And they hold your hands Baby nevermind nevermind Nevermind nevermind What if I left and it made no sense And you tell your friends And they hold your hands Baby nevermind nevermind,,,,,,,,,
Copperline,One Summer night on the Copperline Slip away past supper time Wood smoke and moonshine Down on Copperline One time I saw my daddy dance Watched him moving like a man ,,,,,,,,,
Ode to Billie Joe,I was out choppin' cotton and my brother was balin' hay And at dinner time we stopped and walked back to the house to eat And mama hollered out the back door y'all remember ,,,,,,,,,
Running Up That Hill,And if I only could I'd make a deal with God And I'd get him to swap our places Be running up that road Be running up that hill With no problems,,,,,,,,,
The Boxer,Lie la lie lie la lie la lie la lie Lie la lie lie la lie la lie la lie la la lie la lie And I'm laying out,< sounds,,,,,,,,
Thanks for the Memories,"for the memory Of faults that you forgave, rainbows on a wave And stockings in the basin when a fellow needs a shave I thank you so much",,,,,,,,,
You Raise Me Up,You raise me up so I can stand on mountains You raise me up to walk on stormy seas I am strong ,,,,,,,,,
Hallelujah,which you heard The holy or the broken Hallelujah Hallelujah Hallelujah,,,,,,,,,
Nessun Dorma 2,,< different language (JKAY),,,,,,,,
Where The Streets Have No Name,"Where the streets have no name Where the streets have no name We're still building then burning down love Burning down love And when I go there,",,,,,,,,,
Jerusalem,And was Jerusalem builded here Among these dark Satanic mills,,,,,,,,,
"Ah! mes amis, quel jour de fête!",,< different language,,,,,,,,
Norma - Casta Diva,,< different language,,,,,,,,
No Regrets Non je ne regrette rien,,< different language,,,,,,,,
I Dreamed a Dream,But there are dreams that cannot be And there are storms that we cannot weather I had,,,,,,,,,
Somewhere over the Rainbow,far behind me Where trouble melts like lemon drops High above the chimney tops That's where you'll find me Oh somewhere,,,,,,,,,
Blowin in the Wind,how many times can a man turn his head And pretend that he just doesn't see The answer my friend is blowin' in the wind The answer,,,,,,,,,
The Sounds of Silence,When my eyes were stabbed by the flash of a neon light That split the night And touched the sound of silence And in the naked light,,,,,,,,,
Suzanne,And you want to travel with him and you want to travel blind And you think you may be trusting For he's touched your perfect body with his mind,,,,,,,,,
The First Time Ever I Saw Your Face,I felt the earth move in my hand Like the trembling heart of a captive bird That was,,,,,,,,,
Detroit Rock City,I feel uptight on a Saturday night Nine o' clock the radio's the only light I hear my song and it pulls me through Comes on strong tells me what I got to do,,,,,,,,,
Doo Doo Doo Doo Doo (Heartbreaker),no chance Heart breaker heart breaker She stuck the pins right in her heart Heart breaker pain maker Stole the love right out of you heart Oh yeah,,,,,,,,,
Fight the Good Fight,Fight the good fight every moment Every minute every day Fight the good fight every moment It's your only way,,,,,,,,,
Panic in Detroit,Panic in Detroit Putting on some clothes I made my way to school,,,,,,,,,
Limelight,Living in the limelight The universal dream For those who wish to seem Those who wish to be Must put aside the alienation Get on with the fascination,,,,,,,,,
Freewheel Burning,Born to lead at breakneck speed With high octane we're spitting flames Freewheel burning Freewheel burning On we catapult,,,,,,,,,
Turn it on Again,I can show you I can show you some of the people in my life I can show you I can show you some of the people in my life It's driving me mad just another,,,,,,,,,
Roundabout,I'll be the roundabout The words will make you out 'n' out I spent the day your way Call it morning driving through the sound of In and out the valley,,,,,,,,,
Ashes to Ashes,Ashes to ashes funk to funky We know Major Tom's a junkie Strung out in heaven's high Hitting an all-time low,,,,,,,,,
Seen the Lights Go Out on Broadway,seen the lights go out on Broadway I saw the ruins at my feet You know we almost didn't notice it We'd seen it all the time ,,,,,,,,,
Comfortably Numb,I have become comfortably numb Okay okay okay okay Just a little pinprick,,,,,,,,,
It Doesn't Matter Why,It doesn't matter why we're known It doesn't matter why we're known It doesn't matter why we're known We're just known,,,,,,,,,
Since You've Been Gone,"Baby, baby, sweet baby sweet sweet baby I didn't mean to run you away It was pride on my lips But not in my heart To say the things that made you stray And I mean",,,,,,,,,
Finesse,We out here drippin' in finesse It don't make no sense Out here drippin' in finesse You know it you know it We out here drippin' in finesse It don't make no sense Out here drippin' in finesse You know it you know it,,,,,,,,,
I Never Can Say Goodbye,Never can say goodbye No no no no I Never can say goodbye Even though the pain and heartache Seems to follow me wherever I go,,,,,,,,,
Heat Wave,heat wave Burning in my heart It's like a heat wave I can't keep from crying It's like a heat wave It's tearing me apart Whenever he calls my name Soft low sweet and plain,,,,,,,,,
You Send Me,You you you you send me I know you send me I know you send me Honest you do,,,,,,,,,
Walk on By,walk on by Make believe That you don't see the tears Just let me grieve In private 'cause each time I see you I break down and cry,,,,,,,,,
1917 (The French Prostitute),The strange young man who comes to me A soldier on a three day spree He needs one night's cheap ecstasy And a woman's arms,,,,,,,,,
Can't Find My Way Home,near the end and I just ain't got the time And I'm wasted and I can't find my way home,,,,,,,,,
At Last,"At last, my love has come along My lonely days",,,,,,,,,
Something So Right,Some people never say the words I love you It's not their style To be so bold Some people never say those words I love you,,,,,,,,,
Sir Duke,They can feel it all over But they can feel it all over people They can feel it all over They can feel it all over people no,,,,,,,,,
What Was it You Wanted,What was it you wanted You can tell me I'm back We can start it all over Get it back on the track You got my attention Go ahead speak What was it,,,,,,,,,
Respect,R-E-S-P-E-C-T Find out what it means to me R-E-S-P-E-C-T Take care TCB Oh sock it to me sock it to me Sock it to me sock it to me A little respect sock it to me sock it to me Sock it to me sock it to me Whoa babe just a little bit A little respect just a little bit I get tired just a little bit,,,,,,,,,
Celebration,celebration Celebrate good times come on Let's celebrate Celebrate good times come on Let's celebrate There's a party going on right here,,,,,,,,,
Don't Stop Til You Get Enough,"Keep on with the force,don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Keep on with the force don't stop Don't stop 'til you get enough Touch me",,,,,,,,,
Ain't Nobody,Oh oh oh oh Ain't nobody nobody Loves me better loves me better Makes me happy Makes me feel this way nobody Ain't nobody ain't nobody Loves me better than you,,,,,,,,,
You Are the Sunshine of My Life,You are the sunshine of my life That's why I'll always be around You are the apple of my,,,,,,,,,
Money,Money Get away You get a good job with more pay and you're okay Money It's a gas,,,,,,,,,
Moondance,"Can I just have one more moondance with you, my love Can I just make some more romance with a-you my love Well I wanna make love to you tonight I can't wait 'til ",,,,,,,,,
You Can Call Me Al,You can be my bodyguard I can be your long-lost pal I can call you Betty And Betty when you call me You can call me Al A man walks down the street He says,,,,,,,,,
What'd I Say,What'd I say All right Well tell me what'd I say Tell me what'd I say right now Tell me what'd I say Tell me what'd I say right now Tell me,,,,,,,,,
I Wish,I wish those days could come back once more Why did those days ever have to go I wish those days could come back once more Why did those days ever have to go,,,,,,,,,
Rocket Man,I think it's gonna be a long long time 'Til touchdown brings me 'round again to find I'm not the man they think I am at home Oh no no no I'm a rocket man,,,,,,,,,
Box of Rain,What do you want me to do To do for you to see you through It's all a dream we dreamed One afternoon long ago,,,,,,,,,
Steam Powered Aereo Plane,"Well I dreamt I went away On a steam powered aereoplane I went and I stayed and
I damn near didn't come back again And I didn't go very fast On a steam powered areoplane Oh the wheel went around and up and down And inside and then back again Sittin' in a 747 just a watchin' them clouds roll",,,,,,,,,
Bodhisattva,Bodhisattva Would you take me by the hand Bodhisattva Would you take me by the hand Can you show me The shine of your Japan The sparkle of your china Can you show me Bodhisattva Bodhisattva I'm gonna sell my house,,,,,,,,,
Isn't She Lovely,Isn't she lovely Isn't she wonderful Isn't she precious Less than one minute old I never thought through love we'd be,,,,,,,,,
Dancing Queen,You are the dancing queen Young and sweet Only seventeen Dancing queen Feel the beat from the tambourine,,,,,,,,,
Take a Chance on Me,If you change your mind I'm the first in line Honey I'm still free Take a chance on me If you need me let me know Gonna be around If you've got no place to go When you're feeling down,,,,,,,,,
Single Ladies,if you liked it then you should have put a ring on it If you liked it then you shoulda put a ring on it Don't be mad once you see that he want it If you liked it then you shoulda put a ring on it Oh oh oh oh oh oh oh o-ohh Oh oh oh oh oh oh oh o-ohh,,,,,,,,,
Footloose,Footloose footloose footloose Kick off your Sunday shoes Please Louise Pull me up off my knees Jack get back C'mon before we crack Lose your blues,,,,,,,,,
Beautiful Noise,beautiful noise And it's a sound that I love And it fits me as well As a hand in a glove Yes it does yes it does,,,,,,,,,
Y.M.C.A.,It's fun to stay at the YMCA It's fun to stay at the YMCA They have everything for you men to enjoy You can hang out with all the boys It's fun to stay at the YMCA,,,,,,,,,
Set Fire to Rain,But I set fire to the rain Watched it pour as I touched your face Well it burned while I cried 'Cause I heard it screaming out your name Your name,,,,,,,,,
Picture to Burn,that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned you're just another picture to burn,,,,,,,,,
Mr. Brightside,choking on your alibis But it's just the price I pay destiny is calling me Open up my eager eyes 'cause I'm Mr. Brightside,,,,,,,,,
Give You Blue,I can't move a mountain I am just a man I can't undo what's said,,,,,,,,,
New York State of Mind,I've seen all the movie stars In their fancy cars and their limousines Been high in the Rockies under the evergreens But I know what,,,,,,,,,
Goodbye Yellow Brick Road,goodbye yellow brick road Where the dogs of society howl You can't plant me in your penthouse I'm going back to my plough Back to the howling old owl ,,,,,,,,,
The Weekend,til it hurts less Hangin' out the back all up in your lap Like is you comin' home Is you out with her I don't care long as you here by 10:30 no later than Drop them drawers give me what I want,,,,,,,,,
Travelin' Soldier,I cried Never gonna hold the hand of another guy Too young for him they told her Waitin' for the love of a travelin' soldier Our love will never end Waitin' for the soldier to come ,,,,,,,,,
Love Affair,head so Don't overthink this is love Maybe it's just a crush Baby is this your love affair your love affair I hope what I feel is enough Maybe this is just lies,,,,,,,,,
Yonaguni,,< different language,,,,,,,,
Moriremos,,< different language,,,,,,,,
Industry Baby,"He don't run from nothin' dog Get your soldiers, tell 'em that the break is over Uh need to uh Need to get this album done Need a couple number ones Need a plaque on every song Need me like one with Nicki now Tell a rap _ I don't see ya ha I'm a pop _ like Bieber ha I don't fuck bitches I'm queer ha But these _ bitches like Madea",,,,,,,,,
Hawái Remix,,< different language,,,,,,,,
Classic,"Marvin Gaye like Hathaway Write a song for you like this You're over my head I'm out of my mind Thinkin' I was born in the wrong time It's love on rewind everything is so throwback-ish I kinda like it how ya Out of my league, old school chic Like a movie star from a silver screen You're one of a kind",,,,,,,,,
La Mejor Version De Mi,,< different language,,,,,,,,
I'm Not In Love,I keep your picture Upon the wall It hides a nasty stain that's lying there So don't you ask me To give it,,,,,,,,,
After Dark,And i've been walking underground Till I held you in my arms your beating heart subsides in this damp summer night And i've been wandering,,,,,,,,,
Baby Blue,The special love I have for you My baby blue What can I do,,,,,,,,,
Space Song,Tender is the night For a broken heart Who will dry your eyes When it falls,,,,,,,,,
Electric,"Kiss me we're on fire babe Love me, take me to outer space Kiss me",,,,,,,,,
Girlfriend,You're so fine I want you mine you're so delicious I think about you all the time you're so addictive Don't you know what I can do to make you feel alright Alright alright alright alright Don't pretend I think you know I'm damn precious And hell yeah I'm the motherfuckin' princess I can tell you,,,,,,,,,
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,,,,,,,,,
Need To Know,"Baby I need to know mmm yeah need to know I just been fantasizin' size
And we got a lotta time time Baby come throw the pipe pipe Gotta know what it's like like Yeah-yeah oh-whoa-whoa Baby I need to know mmm",,,,,,,,,
Jealousy,I see everyone gettin' all the things I want I'm happy for them but then again I'm not Just cool vintage clothes and vacation photos I can't stand it Oh God I sound crazy Their win is not my loss I know it's true but I can't help,,,,,,,,,
Good Days,babe You don't care Said not tryna be a nuisance it's just urgent it's urgent Tryna make sense of loose change Got me a war in my mind Gotta let go of weight can't keep what's holding me Choose to watch While the world break up and fall on me All the while,,,,,,,,,
Easy On Me,There ain't no room for things to change When we are both so deeply stuck in our ways You can't deny how hard I have tried,,,,,,,,,
Landslide,"Well, I've been afraid of changin' 'Cause I've built my life around you But time makes you bolder Even children get older",,,,,,,,,
Hallelujah 2,she cut your hair And from your lips she drew the Hallelujah Hallelujah Hallelujah Hallelujah,,,,,,,,,
One,Did I disappoint you Or leave a bad taste in your mouth You act like you never had love And you want me to go without,,,,,,,,,
Lacrimosa ,,< different language,,,,,,,,
Stay With Me,Oh won't you stay with me 'Cause you're all I need This ain't love it's clear to see But darling stay,,,,,,,,,
Fine By Me,There's no one else around I'm thinking you're the girl I need I'm just saying it's fine by me If you never leave And we can live like this forever It's fine by me I'm just saying it's fine by me,,,,,,,,,
Don't Tell 'Em,what we do Don't tell 'em don't tell 'em You ain't even don't tell 'em don't tell 'em you ain't even You ain't even gotta tell 'em don't tell 'em don't tell 'em You ain't even don't tell 'em don't tell 'em you ain't even You ain't even gotta tell em don't tell 'em don't tell 'em Girl he fufu wit' it,,,,,,,,,
Better,Nothin' feels better than this You say we're just friends but I swear when nobody's around You say we're just friends but I swear when nobody's around You keep my hand around your neck we connect are you feeling it now Keep my hand around your neck 'Cause I am ,,,,,,,,,
Knock Knock,"Let 'em in hey And I like my rhymes witty, all my dimes pretty If you got weed you can come fly with me I don't take pity on them silly little hoes Milly Vanilly but this is really how it goes Mouth my words don't say shit Shh shut up bitch and ride this dick I'm just playin' let's have a ball All we need is some weed",,,,,,,,,
Have Yourself a Merry Little Christmas,Have yourself a merry little Christmas Make the Yuletide gay From now on our ,,,,,,,,,
Magic In The Hamptons,"where I go when we're dancing Handshakes in The Hamptons And gettin' drunk in the mansions with you And you look so classy Come through with that magic You know that I'm 'bout to smash it, it's true",,,,,,,,,
Angeline,"Angeline won't you listen to me, please I don't know what I did baby I'm just tryna' live baby So Angeline no I'm not tryna' cause a scene",,,,,,,,,
Doses and Mimosas,To all the bitch-ass hoes That hate me the most Oh yeah I hate you too To all the punk-ass fucks That just wanna talk shit I hate you too,,,,,,,,,
Off The Grid,"First it go viral then they get digital Then they get critical no I'm not doin' no interview Mask on my face you can't see what I'm finna do Had to move away from people that's miserable Don't wanna link you I ain't finna sit with you Ain't finna talk to you, ain't finna get with you Don't get me mad just 'cause I don't wanna injure you She put my paintings inside of her living room Look at the problems and issues I'm livin' through They tryna drown me I rise to my pinnacle Walked through the block",,,,,,,,,
Perfect Strangers,it's painless We act like we strangers I just don't know who we are anymore I'm I'm not supposed to be here 'Cause love don't live here But I'm here and she here She tell me Stay all night She just want a refill And then she want to start fights 'Bout what about how she feel,,,,,,,,,
Clarity ,If our love is tragedy why are you my remedy If our love's insanity why are you my clarity,,,,,,,,,
Command V,took me here Tried to find my place I just found my fears And I lost some friends Even lost some tears I need human touch I need someone near It doesn't have to be you At least not anymore You know that beggars can't choose But I'm only a beggar 'cause I want you desperately bad And I can justify whatever with the fact ,,,,,,,,,
Home,I'll follow you into the park Through the jungle through the dark Girl I never loved one like you hey Moats and boats and waterfalls Alleyways and pay phone calls I've been everywhere hey with you That's true,,,,,,,,,
Fool,I thought we could eat bread I thought we could talk on darker days with our boots kicked off you look to me,,,,,,,,,
Hold My Liquor,Bitch I'm back out my coma Waking up on your sofa When I park my Range Rover Slightly scratch your Corolla Okay I smashed your Corolla I'm hanging on a hangover Five years we been over Ask me why I came over One more hit,,,,,,,,,
Nobody,Nobody nobody nobody Nobody nobody Ooh nobody nobody nobody,,,,,,,,,
Hold Me,When you hold me when you hold me in your arms Oh when you hold me yeah I can feel your heart beating Suddenly I'm standing on a treetop up,,,,,,,,,
Chicken Tendies,I hope he treats you better than I ever could 'Cause you deserve the world times two and our simple Sunday afternoons I hope he's home for you even though I had to lose you For you to find who fills your heart Even if I'm not the one you choose,,,,,,,,,
Good Thing,"You don't have to go nowhere baby We got a good thing going, going on I can take you all the way baby Let's keep this good thing going going strong It's when you look",,,,,,,,,
Just That Girl,crazy she's a dime And it's almost like I could see her She's just that girl Something happens when you groove Earth beneath you starts to move It's so bad I'm looking at you 'Cause she's just that girl Crazy how you work that frame You and me we could change the game,,,,,,,,,
Here Comes Forever,Yeah Here comes that movie scene The one you think is so cliché That moment when we kissed By the lake pouring rain I ain't no Superman But I can change your world Ooh ooh ooh ooh ooh ooh Here comes forever girl,,,,,,,,,
Someone To You,I never had nobody and no road home I wanna be somebody to someone And if the sun starts setting the sky goes cold Then if the clouds get heavy and start to fall I really need somebody to call my own I wanna be somebody to someone,,,,,,,,,
Drive,When you find a love that's right You can drive all night drive all night yeah Ah do what makes you feel alive You can drive all night drive all night 'Cause the road's calling,,,,,,,,,
Piece of Me,If you want a piece of me Try harder you gotta try harder ah-ah Be smarter if you want a piece of me Try harder you gotta try harder ah-ah Be smarter 'cause I'm not falling easily,,,,,,,,,
Sunday Morning,I wanna feel strong when I feel like falling I wanna feel everything you do I wanna feel I wanna feel like it's all brand new I wanna feel,,,,,,,,,
Soldier,I want you to stay oh stay oh Stay with me a little longer Why don't you stay Oh stay oh Don't you wanna be my soldier Now would you fight for me D-d-d-die for me,,,,,,,,,
Wish You Well,I wish you well I wish you well I wish you well I wish you well,,,,,,,,,
Cruel,loopin' 'round like CCTV In all this bitterness you stay so sweet It's such a cruel world Savin' all my love for you girl It's such a cruel world,,,,,,,,,
Chinese Satellite,They were screaming right back from what I remember When you said I will never be your vegetable,,,,,,,,,
Gold Rush,But I don't like a gold rush What must it be like To grow up that beautiful With your hair falling into place like dominos I see me padding 'cross your wooden floors With my Eagles t-shirt hanging from the door,,,,,,,,,
Fire,I call it by its first name We were we were never gonna catch fire We'd've burned up in the flames Long before they ever rose up higher,,,,,,,,,
Scott Street,Do you feel ashamed When you hear my name,,,,,,,,,
Silk Chiffon,I'm high and I'm feeling anxious Inside of the CVS When she turns 'round halfway down the aisle With that 'you're on camera' smile Like she wants to try me on,,,,,,,,,
All the Time in the World,in the cold Go make a list of things And I’ll be the pen and paper We got all the time in the world And don’t you wanna live with the same hope,,,,,,,,,
Gimme Gimme Gimme,Movie stars Find the end of the rainbow with a fortune to win It's so different from the world I'm living in Tired of TV I open the window and I gaze into the night But there's nothing there to see,,,,,,,,,
777,Ooh just touched down down up a few thou' thou' Big booty hoes with me in the penthouse Bar full of liquor liquor cash for the strippers strippers It gon' get weird tonight so no pictures nah Pretty motherfucker with some money to blow I'm 'bout to buy Las Vegas after this roll I'm 'bout to buy Las Vegas after this roll Come on seven seven seven let's go,,,,,,,,,
Chief Keef,I ain't with the drama you can meet my llama Ridin' with 3hunna with 300 foreigns These bitches see Chief Sosa I swear to God they honored These bitches love Sosa O end or no end Fuckin' with them O boys you gon' get fucked over,,,,,,,,,
Industry Baby,"I told you long ago, on the road I got what they waitin' for I don't run from nothin', dog Get your soldiers tell 'em I ain't layin' low You was never really rootin' for me anyway When I'm back up at the top I wanna hear you say",,,,,,,,,
Hey Stephen,if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm I can't help myself,,,,,,,,,
Gaslighter,"Acting all above it when our friends divorced What a lie-lie-lie-lie-lie You're such a Gaslighter, denier Doin' anything to get your ass farther Gaslighter big timer",,,,,,,,,
34+35,Can you stay up all night all night Fuck me ’til the daylight Thirty-four thirty-five Yeah yeah yeah yeah Can we stay up all night Fuck a jet lag You bring your fine ass and overnight bag Add up the numbers or get behind that Play and rewind that listen you’ll find that I want that six-nine,,,,,,,,,
Drankin N Smokin,availability I want all of you If it's like that then it's like that got you lightin' up like lightning I stack it up get feisty can't sabotage it or ice it You gon' tell the world they flawed thankful for when you nosy You're a good girl but you're naughty don't you never miss out on Pilates I let you stunt and flex in Bugattis they don't got me she with a body Me and cheap girls,,,,,,,,,
Kiss Me More,"But I need your lips on mine Can you kiss me more We're so young boy We ain't got nothin' to lose oh oh It's just principle
Baby hold me 'Cause I like the way you groove oh oh",,,,,,,,,
Type Shit,"type shit bitches love to type shit I pull up Marine Serre you know in some tight shit My accountant think I'm gay, all I do is buy shit From the projects to the private jets I've been a fly bitch mwah Once hoes start doing bad they need somethin' they can blame it on Bitches couldn't be as hot as me in the summertime with a blanket on",,,,,,,,,
Itty Bitty Piggy,Ayo I was on the plane with Dwayne You can call me Whitley I go to Hillman Listen I'm the baddest in the school the baddest in the game Excuse me honey but nobody's in my lane When you was in New York you was fuckin' the Yankee I was fuckin' with base I was pitchin' to Frankie These bitches so cranky,,,,,,,,,
WUSYANAME,What's your name girlfriend what's your name Oh girl Yeah What is your name what do you bring Yeah I think that I got what you need And I'm willin' to do anything that you please baby I'm tryna get down to the root of the apple The deepest I could in them jeans McLaren like Sonic can't speak no No you can't hit my lean no baby,,,,,,,,,
All Too Well,nothing else I could do And I forget about you long enough to forget why I needed to 'Cause there we are again in the middle of the night We're dancing 'round the kitchen in,,,,,,,,,
Ghost,I'll settle for the ghost of you I miss you more than life more than life yeah And if you can't be next to me Your memory is ecstasy oh I miss you more than life I miss you ,,,,,,,,,
