stim_name,lyrics,vadersenti_score,X,emotion,participant_ID,onset_time,stim_ID,vocal,onset_seconds,liking,familiarity,older_younger,age,sex,self_other,happy_sad,MCI,Multiple.Voices.,stim_order
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-062,negative,SSOH,61,2,Y,28.975,4,4,younger,19,NB,self,NA,,NA,2
Die For You,And I know that you're worth it I can't walk away oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby I would die for you yeah,-0.7717,sub-062,negative,SSOH,61,2,Y,28.975,4,4,younger,19,NB,self,NA,,NA,2
Eleanor Rigby,All the lonely people Where do they all belong Ah look at all the lonely people Ah look at all the lonely people,-0.7579,sub-006,negative,GHER,1321,2,Y,627.475,3,3,older,66,Male,self,NA,,NA,23
Good Days,babe You don't care Said not tryna be a nuisance it's just urgent it's urgent Tryna make sense of loose change Got me a war in my mind Gotta let go of weight can't keep what's holding me Choose to watch While the world break up and fall on me All the while,-0.7374,sub-046,negative,APOP,841,6,Y,399.475,4,4,younger,18,Female,self,NA,,NA,15
The Weekend,til it hurts less Hangin' out the back all up in your lap Like is you comin' home Is you out with her I don't care long as you here by 10:30 no later than Drop them drawers give me what I want,-0.7374,sub-043,negative,SLEE,1261,4,Y,598.975,4,4,younger,18,Female,self,NA,,NA,22
The Real Slim Shady,Y'all act like you never seen a white person before Jaws all on the floor like Pam like Tommy just burst in the door And started whoopin' her ass worse than before They first were divorced throwin' her over furniture ah It's the return of the ah wait no way you're kidding He didn't just say what I think he did did he And Dr. Dre said nothing you idiots Dr. Dre's dead,-0.7351,sub-067,negative,CNOR,1021,6,Y,484.975,4,4,younger,18,Male,self,NA,,NA,18
Itty Bitty Piggy,Ayo I was on the plane with Dwayne You can call me Whitley I go to Hillman Listen I'm the baddest in the school the baddest in the game Excuse me honey but nobody's in my lane When you was in New York you was fuckin' the Yankee I was fuckin' with base I was pitchin' to Frankie These bitches so cranky,-0.7351,sub-055,negative,JLAW,121,5,Y,57.475,4,4,younger,18,Female,self,NA,,NA,3
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-037,negative,AEHR,721,11,Y,342.475,2,3,older,60,Male,other,NA,Y,NA,13
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-068,negative,ALIU,241,11,Y,114.475,3,3,younger,18,Female,other,NA,,NA,5
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-046,negative,APOP,661,11,Y,313.975,2,1,younger,18,Female,other,NA,,NA,12
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-032,negative,ASHA,481,11,Y,228.475,3,2,older,70,Female,other,NA,,NA,9
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-056,negative,ASUR,1321,11,Y,627.475,2,1,younger,20,Female,other,NA,,NA,23
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-063,negative,AWIL,1021,11,Y,484.975,1,1,younger,19,Female,other,NA,,NA,18
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-042,negative,AZHA,841,11,Y,399.475,2,1,younger,18,Female,other,NA,,NA,15
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-040,negative,BFOR,121,11,Y,57.475,1,1,older,76,Female,other,NA,,NA,3
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-066,negative,CKOB,961,11,Y,456.475,3,2,younger,18,Female,other,NA,,NA,17
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-067,negative,CNOR,541,11,Y,256.975,3,2,younger,18,Male,other,NA,,NA,10
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-011,negative,CWEI,421,11,Y,199.975,3,2,older,78,Male,other,NA,,NA,8
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-045,negative,CZAL,661,11,Y,313.975,4,4,younger,18,Female,other,NA,,NA,12
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-022,negative,DCAT,781,11,Y,370.975,4,2,older,89,Female,other,NA,,NA,14
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-019,negative,DFAI,301,11,Y,142.975,4,2,older,66,Female,other,NA,,NA,6
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-029,negative,EHER,601,11,Y,285.475,2,2,older,62,Male,other,NA,,NA,11
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-039,negative,ELAR,1,11,Y,0.475,2,1,older,61,Male,other,NA,,NA,1
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-071,negative,EMCG,961,11,Y,456.475,3,3,younger,18,Female,other,NA,,NA,17
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-015,negative,EROS,61,11,Y,28.975,3,4,older,58,Male,other,NA,,NA,2
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-075,negative,ETIN,1081,11,Y,513.475,1,2,younger,23,Female,other,NA,,NA,19
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-001,negative,FKEE,781,11,Y,370.975,3,4,older,56,Male,other,NA,,NA,14
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-018,negative,GCAS,1201,11,Y,570.475,2,2,older,71,Male,other,NA,,NA,21
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-006,negative,GHER,1201,11,Y,570.475,1,1,older,66,Male,other,NA,,NA,21
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-036,negative,GSHA,481,11,Y,228.475,2,2,older,66,Female,other,NA,,NA,9
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-049,negative,GWAI,901,11,Y,427.975,2,3,younger,18,Male,other,NA,,NA,16
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-057,negative,IZIK,1141,11,Y,541.975,4,4,younger,23,Male,other,NA,,NA,20
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-061,negative,JCLA,1261,11,Y,598.975,1,1,younger,19,Female,other,NA,,NA,22
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-021,negative,JKAY,781,11,Y,370.975,3,1,older,69,Male,other,NA,,NA,14
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-055,negative,JLAW,1261,11,Y,598.975,2,0,younger,18,Female,other,NA,,NA,22
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-010,negative,JPRE,1261,11,Y,598.975,1,2,older,75,Female,other,NA,,NA,22
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-003,negative,JSCH,361,11,Y,171.475,NA,NA,older,67,Male,other,NA,,NA,7
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-051,negative,KCHU,721,11,Y,342.475,2,2,younger,18,Female,other,NA,,NA,13
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-052,negative,KPLU,1261,11,Y,598.975,1,1,younger,19,Female,other,NA,,NA,22
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-053,negative,KWAL,1261,11,Y,598.975,1,1,younger,18,Female,other,NA,,NA,22
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-008,negative,LDIR,61,11,Y,28.975,2,1,older,63,Female,other,NA,,NA,2
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-043,negative,LGAR,421,11,Y,199.975,2,3,younger,19,Female,other,NA,,NA,8
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-005,negative,LGEN,721,11,Y,342.475,3,2,older,64,Female,other,NA,,NA,13
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-030,negative,LJAC,61,11,Y,28.975,2,1,older,68,Female,other,NA,,NA,2
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-023,negative,LOLE,781,11,Y,370.975,3,2,older,73,Female,other,NA,Y,NA,14
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-048,negative,LWIE,1141,11,Y,541.975,3,4,younger,18,Female,other,NA,,NA,20
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-065,negative,MBIC,541,11,Y,256.975,2,3,younger,18,Female,other,NA,,NA,10
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-012,negative,MBLO,1081,11,Y,513.475,3,4,older,66,Male,other,NA,,NA,19
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-060,negative,MCHI,181,11,Y,85.975,1,3,younger,18,Female,other,NA,,NA,4
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-074,negative,MCHO,901,11,Y,427.975,2,1,younger,19,Male,other,NA,,NA,16
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-073,negative,NLEN,181,11,Y,85.975,4,3,older,79,Female,other,NA,Y,NA,4
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-070,negative,OEGB,1201,11,Y,570.475,2,1,younger,18,Female,other,NA,,NA,21
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-069,negative,OKHE,301,11,Y,142.975,3,1,younger,23,Male,other,NA,,NA,6
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-058,negative,SAPE,661,11,Y,313.975,2,1,younger,18,Female,other,NA,,NA,12
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-028,negative,SCAE,361,11,Y,171.475,1,1,older,54,Male,other,NA,,NA,7
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-050,negative,SCAM,841,11,Y,399.475,3,4,younger,18,Female,other,NA,,NA,15
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-043,negative,SLEE,361,11,Y,171.475,1,1,younger,18,Female,other,NA,,NA,7
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-076,negative,SSHA,241,11,Y,114.475,2,3,younger,23,Female,other,NA,,NA,5
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-062,negative,SSOH,361,11,Y,171.475,1,2,younger,19,NB,other,NA,,NA,7
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-064,negative,STHO,481,11,Y,228.475,3,1,younger,21,Female,other,NA,,NA,9
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-059,negative,TBOY,1381,11,Y,655.975,4,4,younger,18,Male,other,NA,,NA,24
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-016,negative,TCIE,481,11,Y,228.475,3,4,older,60,Male,other,NA,,NA,9
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-047,negative,TSTA,301,11,Y,142.975,3,2,older,62,Male,other,NA,Y,NA,6
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-072,negative,YDIA,1,11,Y,0.475,2,1,younger,19,Female,other,NA,,NA,1
Hurt,"And you could have it all
My empire of dirt
I will let you down
I will make you hurt",-0.7003,sub-054,negative,ZCAR,61,11,Y,28.975,1,1,younger,18,Female,other,NA,,NA,2
You Right,"I got a man but I want you I got a man but I want you And it's just nerves it's just dick Makin' me think 'bout someone new You know I got so much to say
I try to hide it in my face And it don't work you see through That I just want get wit' you And you're right You right I got my guy",-0.6956,sub-062,negative,SSOH,841,3,Y,399.475,4,4,younger,19,NB,self,NA,,NA,15
Undrunk,Wish I could get a little un-drunk so I could un-call you At 5 in the morning I would un-fuck you But some things you can't undo I wish I could un-kiss the room full of strangers So I could un-spite you un-lose my temper But some things you can't undo,-0.6944,sub-075,negative,ETIN,601,1,Y,285.475,4,4,younger,23,Female,self,NA,,NA,11
Ain't Equal,How it's on sight And I don't never see you nowhere Bitch _ coming too strong Wait a minute hold on Wait wait Let him eat me out And still put him in the friend zone Ah ah Bitches wanna hang When they know they really hate me I'm still winning Even if you don't congratulate me Hah _ gettin' mad they can't hit boy This my pussy Boy what Stick the whole clip up in your throat And make you feel pussy Bitch I been popping doing numbers been lit,-0.6756,sub-058,negative,SAPE,841,4,Y,399.475,4,4,younger,18,Female,self,NA,,NA,15
Chief Keef,I ain't with the drama you can meet my llama Ridin' with 3hunna with 300 foreigns These bitches see Chief Sosa I swear to God they honored These bitches love Sosa O end or no end Fuckin' with them O boys you gon' get fucked over,-0.6705,sub-054,negative,ZCAR,1381,3,Y,655.975,4,4,younger,18,Female,self,NA,,NA,24
Knock Knock,"Let 'em in hey And I like my rhymes witty, all my dimes pretty If you got weed you can come fly with me I don't take pity on them silly little hoes Milly Vanilly but this is really how it goes Mouth my words don't say shit Shh shut up bitch and ride this dick I'm just playin' let's have a ball All we need is some weed",-0.6466,sub-048,negative,LWIE,721,4,Y,342.475,4,4,younger,18,Female,self,NA,,NA,13
Walk on By,walk on by Make believe That you don't see the tears Just let me grieve In private 'cause each time I see you I break down and cry,-0.6167,sub-030,negative,LJAC,361,6,Y,171.475,4,4,older,68,Female,self,NA,,NA,7
777,Ooh just touched down down up a few thou' thou' Big booty hoes with me in the penthouse Bar full of liquor liquor cash for the strippers strippers It gon' get weird tonight so no pictures nah Pretty motherfucker with some money to blow I'm 'bout to buy Las Vegas after this roll I'm 'bout to buy Las Vegas after this roll Come on seven seven seven let's go,-0.6166,sub-054,negative,ZCAR,1321,2,Y,627.475,3,4,younger,18,Female,self,NA,,NA,23
Smells Like Teen Spirit,Hello hello hello With the lights out it's less dangerous Here we are now entertain us I feel stupid and contagious Here we are now entertain us,-0.6133,sub-015,negative,EROS,1381,2,Y,655.975,4,4,older,58,Male,self,NA,,NA,24
Panic in Detroit,a gun and me alone I ran to the window looked for a plane or two Panic in Detroit he'd left me an autograph Let me collect dust I wish someone would phone,-0.6124,sub-006,negative,GHER,301,3,Y,142.975,2,2,older,66,Male,self,NA,,NA,6
Panic in Detroit,a gun and me alone I ran to the window looked for a plane or two Panic in Detroit he'd left me an autograph Let me collect dust I wish someone would phone,-0.6124,sub-028,negative,SCAE,1081,4,Y,513.475,4,4,older,54,Male,self,NA,,NA,19
My Old School,"Well, I did not think the girl Could be so cruel And I'm never going back To my old school",-0.5812,sub-003,negative,JSCH,841,2,Y,399.475,NA,NA,older,67,Male,other,NA,,NA,15
Future Sounds,"Devil lay down Devil, lay down This that level make devils pray now Hold up no peace hold up police Don't call police just stay focused Pray for new life pray for new breath Hey Lord make sure it's safe for who's left Know you can't find a place to rest",-0.5647,sub-059,negative,TBOY,121,4,Y,57.475,4,4,younger,18,Male,self,NA,,NA,3
Fight the Good Fight,Fight the good fight every moment Every minute every day Fight the good fight every moment It's your only way,-0.5574,sub-028,negative,SCAE,121,3,Y,57.475,4,4,older,54,Male,self,NA,,NA,3
Lonesome Tonight,Are you lonesome tonight Do you miss me tonight Are you sorry we drifted apart Does your ,-0.5267,sub-011,negative,CWEI,121,4,Y,57.475,4,4,older,78,Male,self,NA,,NA,3
Panic in Detroit,Panic in Detroit Putting on some clothes I made my way to school,-0.5106,sub-006,negative,GHER,301,3,Y,142.975,2,2,older,66,Male,self,NA,,NA,6
Panic in Detroit,Panic in Detroit Putting on some clothes I made my way to school,-0.5106,sub-028,negative,SCAE,1081,4,Y,513.475,4,4,older,54,Male,self,NA,,NA,19
Wet Dreamz,Man it wasn't nothin' like that first time She was in my math class Long hair brown skin with the fat ass Sat beside me used to laugh at mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe ,-0.5096,sub-063,negative,AWIL,661,6,Y,313.975,4,4,younger,19,Female,self,NA,,NA,12
Can't Find My Way Home,near the end and I just ain't got the time And I'm wasted and I can't find my way home,-0.4939,sub-032,negative,ASHA,241,2,Y,114.475,4,4,older,70,Female,self,NA,,NA,5
Turn it on Again,I can show you I can show you some of the people in my life I can show you I can show you some of the people in my life It's driving me mad just another,-0.4939,sub-029,negative,EHER,181,1,Y,85.975,4,4,older,62,Male,self,NA,,NA,4
Here With You,And everybody hurts When I’m here with you When I’m here with you,-0.4767,sub-057,negative,IZIK,661,5,Y,313.975,4,4,younger,23,Male,self,NA,,NA,12
Scott Street,Do you feel ashamed When you hear my name,-0.4767,sub-053,negative,KWAL,1021,4,Y,484.975,4,4,younger,18,Female,self,NA,,NA,18
Wait for It,Wait for it wait for it wait for it I'm not falling behind or running late Wait for it wait for it wait for it wait for it I'm not standing still I am lying in wait Wait wait wait Hamilton faces an endless uphill climb Climb climb climb He has something to prove,-0.4508,sub-008,negative,LDIR,1261,1,Y,598.975,4,4,older,63,Female,self,NA,,NA,22
Seen the Lights Go Out on Broadway,seen the lights go out on Broadway I saw the ruins at my feet You know we almost didn't notice it We'd seen it all the time ,-0.4404,sub-029,negative,EHER,661,4,Y,313.975,4,4,older,62,Male,self,NA,,NA,12
The Sounds of Silence,When my eyes were stabbed by the flash of a neon light That split the night And touched the sound of silence And in the naked light,-0.4404,sub-023,negative,LOLE,241,4,Y,114.475,4,4,older,73,Female,self,NA,Y,NA,5
Hold My Liquor,Bitch I'm back out my coma Waking up on your sofa When I park my Range Rover Slightly scratch your Corolla Okay I smashed your Corolla I'm hanging on a hangover Five years we been over Ask me why I came over One more hit,-0.4404,sub-050,negative,SCAM,1381,4,Y,655.975,4,4,younger,18,Female,self,NA,,NA,24
Gaslighter,"Acting all above it when our friends divorced What a lie-lie-lie-lie-lie You're such a Gaslighter, denier Doin' anything to get your ass farther Gaslighter big timer",-0.4404,sub-054,negative,ZCAR,781,6,Y,370.975,4,4,younger,18,Female,self,NA,,NA,14
Home,I'll follow you into the park Through the jungle through the dark Girl I never loved one like you hey Moats and boats and waterfalls Alleyways and pay phone calls I've been everywhere hey with you That's true,-0.4322,sub-050,negative,SCAM,1261,2,Y,598.975,4,4,younger,18,Female,self,NA,,NA,22
Sir Duke,They can feel it all over But they can feel it all over people They can feel it all over They can feel it all over people no,-0.4215,sub-032,negative,ASHA,1321,5,Y,627.475,4,4,older,70,Female,self,NA,,NA,23
All Too Well,nothing else I could do And I forget about you long enough to forget why I needed to 'Cause there we are again in the middle of the night We're dancing 'round the kitchen in,-0.4215,sub-056,negative,ASUR,421,1,Y,199.975,4,4,younger,20,Female,self,NA,,NA,8
War With Heaven,If I was away from you so long These drinks take over me They messin' with my head My insecurities 'Cause you ain't in my bed My bed I got a place for you,-0.4215,sub-060,negative,MCHI,1201,2,Y,570.475,4,4,younger,18,Female,self,NA,,NA,21
In the Ghetto,And his mama cries 'Cause if there's one thing that she don't need It is another hungry mouth to feed In the ghetto In the ghetto People don't you understand,-0.4019,sub-011,negative,CWEI,241,3,Y,114.475,4,4,older,78,Male,self,NA,,NA,5
In Circles,I won't save you,-0.3875,sub-074,negative,MCHO,121,5,Y,57.475,4,4,younger,19,Male,self,NA,,NA,3
Blood On Me,My heart's thumpin' drummin' No need no need to take from me Don't throw the paint on me I see this lake formin' I got lost astray In this forest runnin' away,-0.3843,sub-071,negative,EMCG,841,5,Y,399.475,4,4,younger,18,Female,self,NA,,NA,15
